Date,Product_Name,Category,Units_Sold,Inventory_Level,Price,Promotion,Supplier,Lead_Time,Revenue
2023-03-07,Lotion,Personal Care,41,96,780.63,Yes,Prime Distribution,12,32005.83
2023-01-29,Phone,Electronics,22,495,1521.17,Yes,ABC Suppliers,4,33465.74
2024-04-28,Mouse,Electronics,46,199,485.75,Yes,ABC Suppliers,3,22344.5
2023-10-20,Butter,Groceries,25,464,1042.25,Yes,Smart Wholesale,14,26056.25
2023-04-19,Conditioner,Personal Care,42,293,939.73,Yes,Prime Distribution,5,39468.66
2024-04-17,Speaker,Electronics,45,122,59.91,No,Global Traders,2,2695.95
2024-11-12,Eggs,Groceries,66,430,1412.92,Yes,Prime Distribution,8,93252.72
2023-02-03,Hair Oil,Personal Care,41,467,1764.99,Yes,Smart Wholesale,2,72364.59
2024-08-18,Headphones,Electronics,55,449,582.26,Yes,Prime Distribution,3,32024.3
2024-07-29,Bread,Groceries,52,279,1414.49,No,Smart Wholesale,9,73553.48
2024-03-29,Tea,Groceries,40,398,438.13,Yes,Prime Distribution,12,17525.2
2024-08-11,Headphones,Electronics,24,418,1290.6,No,Global Traders,10,30974.4
2023-12-06,Eggs,Groceries,45,445,561.37,Yes,Nova Supply,11,25261.65
2023-12-09,Deodorant,Personal Care,70,210,713.31,No,Smart Wholesale,6,49931.7
2023-05-20,Tea,Groceries,39,212,1932.11,Yes,Nova Supply,12,75352.29
2023-12-14,Mouse,Electronics,49,349,1099.29,No,Nova Supply,4,53865.21
2023-05-21,Milk,Groceries,19,77,925.98,Yes,ABC Suppliers,11,17593.62
2023-08-08,Tea,Groceries,42,332,560.13,Yes,Smart Wholesale,5,23525.46
2024-12-27,Conditioner,Personal Care,43,170,1663.28,No,Smart Wholesale,14,71521.04
2024-01-11,Shampoo,Personal Care,21,199,1783.1,No,Nova Supply,5,37445.1
2024-07-10,Camera,Electronics,55,130,836.16,No,Prime Distribution,4,45988.8
